accx,accy,accz,gyrox,gyro y,gyro z,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,angle x,angle y,angle z
0.81,-0.81,-0.06,0.66,50.92,313.75,-47.48,-46.94,4.85,375.09,2311.1,3.81,366.65,2311.1
0.6,-0.79,-0.09,-19.83,-22.96,160.59,-57.27,-40.49,2.85,372.77,2327.32,0.62,356.23,2327.32
0.49,-0.86,-0.29,-48.09,52.43,120.84,-76.73,-40.37,-2.05,378.12,2339.64,-5.73,353.54,2339.64
0.39,-0.94,-0.11,-11.84,3.93,84.67,-73.42,-25,-3.27,378.52,2348.36,-8.28,346.37,2348.36
0.21,-0.84,-0.2,-48.42,-41.69,98.38,-89.33,-17.91,-8.26,374.23,2358.5,-14.79,334.87,2358.5
0.22,-0.87,-0.14,-27.81,-11.49,6.85,-84.68,-16.69,-11.15,373.03,2359.21,-19.02,326.67,2359.21
0.33,-1.07,-0.1,-44.32,-81.67,44.39,-77.88,-18.59,-15.85,364.37,2363.92,-24.8,311.28,2363.92
0.22,-1.03,-0.2,-13.13,-23.57,30.32,-88.8,-14.7,-17.23,361.9,2367.1,-27.43,302.33,2367.1
0.26,-0.91,-0.25,12.9,49.88,-36.05,-89.31,-21.34,-15.85,367.24,2363.24,-27.32,301.09,2363.24
0.2,-0.95,-0.16,19.27,33.39,8.23,-87.3,-14.27,-13.85,370.71,2364.1,-26.55,298.19,2364.1
0.29,-0.99,-0.22,-11.95,-14.77,5.86,-85.88,-20.51,-15.08,369.19,2364.7,-28.95,290.32,2364.7
0.22,-0.92,-0.19,-14.44,8.46,-3.79,-88.18,-16.85,-16.59,370.08,2364.3,-31.62,285.05,2364.3
0.24,-0.93,-0.22,0.26,-57.06,22.87,-88.77,-18.21,-16.57,364.2,2366.66,-32.73,273.23,2366.66
0.26,-1,-0.27,0.26,-49.14,17.07,-90.85,-19.5,-16.54,359.04,2368.45,-33.87,262.31,2368.45
0.12,-0.96,-0.23,-6.38,18.04,20.78,-96.45,-9.19,-17.2,360.9,2370.59,-35.76,258.7,2370.59
0.16,-0.94,-0.31,26.23,82.89,-0.74,-99.35,-14.19,-14.47,369.52,2370.51,-34.36,261.7,2370.51
0.25,-0.99,-0.18,6.41,1.79,40.55,-85.98,-17.34,-13.81,369.7,2374.69,-34.75,256.3,2374.69
0.28,-1.02,-0.26,-1.46,7.62,17.37,-88.8,-20.38,-13.96,370.49,2376.48,-35.98,251.53,2376.48
0.22,-0.96,-0.25,69.09,0.17,12.01,-91.4,-17.39,-6.91,370.5,2377.7,-30.18,246.17,2377.7
0.16,-0.96,-0.19,7.39,-36.28,56.44,-91.6,-11.9,-6.16,366.84,2383.4,-30.68,237.42,2383.4
0.17,-0.98,-0.17,22.6,7.53,6.67,-90.47,-11.65,-3.81,367.62,2384.1,-29.57,233.2,2384.1
0.18,-0.97,-0.15,-13.34,-31.03,59.49,-88.29,-12.56,-5.15,364.52,2390.05,-32.05,225.25,2390.05
0.08,-0.99,-0.21,7.68,-8.21,24.27,-97.03,-6,-4.33,363.65,2392.62,-32.55,219.77,2392.62
0.09,-0.99,-0.17,-2.35,-14.19,28.19,-94.34,-6.48,-4.57,362.23,2395.44,-34.02,213.85,2395.44
0.05,-1,-0.22,-13.17,-14.16,-24.13,-99.49,-3.48,-5.93,360.77,2392.95,-36.66,208.08,2392.95
0.02,-0.95,-0.21,-9.88,-20.67,1.6,-101.6,-1.28,-6.96,358.6,2393.12,-38.97,201.76,2393.12
0.09,-1.05,-0.2,21.07,-4.07,26.04,-96.21,-6.06,-4.79,358.18,2395.8,-37.99,197.2,2395.8
0.02,-1,-0.24,31.47,17.18,18.88,-102.31,-1.76,-1.58,359.93,2397.73,-36.13,194.93,2397.73
0.01,-0.98,-0.19,14.43,2.89,27.95,-100.03,-0.97,-0.1,360.23,2400.61,-35.95,191.31,2400.61
0.01,-1.01,-0.16,2.58,-13.08,18.68,-98.57,-0.8,0.17,358.91,2402.5,-36.95,186.17,2402.5
-0.03,-0.98,-0.18,-3.33,-11.89,30,-99.21,1.86,-0.17,357.72,2405.5,-38.52,181.32,2405.5
0.01,-1,-0.18,15.35,4.66,2.53,-99.85,-0.56,1.4,358.2,2405.75,-38.21,178.15,2405.75
0,-1.01,-0.16,2.09,-17.12,9.84,-98.88,-0.33,1.61,356.5,2406.73,-39.22,172.92,2406.73
-0.03,-0.98,-0.17,-3.11,-5.25,4.52,-98.44,1.77,1.3,355.98,2407.18,-40.71,168.99,2407.18
-0.04,-0.99,-0.15,3.06,8.52,-1.04,-96.14,2.82,1.6,356.83,2407.07,-41.52,166.49,2407.07
0,-1.01,-0.17,1.3,-5.45,8.62,-99.52,0.3,1.73,356.29,2407.93,-42.56,162.64,2407.93
-0.02,-1,-0.17,3.77,-7.75,7.78,-98.55,1.64,2.1,355.53,2408.69,-43.31,158.67,2408.69
-0.04,-1,-0.15,6.29,-3.75,-3,-96.35,2.69,2.71,355.16,2408.4,-43.77,155.19,2408.4
-0.04,-1.01,-0.15,4.12,-3.48,9.43,-96.42,2.58,3.13,354.81,2409.34,-44.42,151.8,2409.34
-0.04,-1,-0.16,9.94,-4.85,13.11,-96.47,3.03,4.1,354.34,2410.62,-44.5,148.36,2410.62
-0.05,-0.99,-0.15,5.5,-8.35,9.46,-95.65,3.37,4.65,353.5,2411.57,-44.99,144.64,2411.57
-0.06,-1.01,-0.17,7.42,-4.32,2.32,-96.09,4.13,5.39,353.08,2411.8,-45.29,141.41,2411.8
-0.06,-1.01,-0.16,9.93,-2.32,11.81,-95.2,4.3,6.37,352.85,2412.97,-45.32,138.45,2412.97
-0.09,-0.99,-0.12,16.22,12.3,19.4,-92.22,5.63,7.97,354.06,2414.89,-44.69,136.98,2414.89
-0.07,-0.99,-0.13,9.07,-6.44,-13.27,-93.3,4.79,8.9,353.41,2413.54,-44.75,133.69,2413.54
-0.09,-1,-0.15,-2.79,-13.2,-5.06,-93.63,6.01,8.62,352.09,2413.03,-46.01,129.85,2413.03
-0.07,-1.02,-0.13,1.85,-4.64,-0.26,-93.85,4.26,8.81,351.62,2413,-46.78,126.88,2413
-0.07,-1,-0.12,-1.22,-9.54,-5.74,-92.67,4.46,8.69,350.67,2412.43,-47.82,123.49,2412.43
-0.05,-1,-0.1,3.76,-2.54,1.87,-92.62,3.44,13.32,340.17,2410.8,-52.02,92.68,2410.8
-0.05,-1.01,-0.13,3.5,-2.13,0.84,-94.5,3.01,13.66,339.97,2410.88,-52.53,90.69,2410.88
-0.04,-1,-0.11,3.19,-0.9,0.3,-94.04,2.62,13.98,339.88,2410.91,-53.05,88.84,2410.91
-0.04,-1.01,-0.11,3.06,-5.03,4.84,-93.87,2.78,14.28,339.38,2411.39,-53.57,86.63,2411.39
