accx,accy,accz,gyro x,gyro y,gyro z,acc angle x,acc angle y,gyro angle x,gyro angle y,gyro angle z,angle x,angle y,angle z,out
0.64,0.69,-0.3,1.82,-2.39,-0.04,63.65,-59.09,-1.56,65.7,32.91,59.73,-61.9,32.91,1
0.66,0.69,-0.29,-3.45,-2.66,-2.2,61.78,-59.05,-1.88,65.45,32.71,59.45,-62.08,32.71,1
0.67,0.68,-0.31,1.95,2.57,-1.08,62.46,-61.28,-1.7,65.69,32.61,59.69,-61.83,32.61,1
0.65,0.68,-0.31,0.84,1.09,0.54,63.26,-60.22,-1.62,65.8,32.66,59.84,-61.7,32.66,1
0.65,0.69,-0.32,-0.47,0.28,1.39,64.05,-60.85,-1.67,65.82,32.78,59.88,-61.66,32.78,1
0.66,0.7,-0.29,-1.04,-2.22,0.67,62.25,-57.46,-1.76,65.62,32.85,59.84,-61.77,32.85,1
0.65,0.68,-0.29,-0.28,-1.73,-0.3,62.67,-58.7,-1.79,65.46,32.82,59.87,-61.87,32.82,1
0.65,0.68,-0.29,2.15,0.22,0.78,61.81,-58.59,-1.58,65.48,32.89,60.1,-61.78,32.89,1
0.66,0.68,-0.32,0.41,0.3,1.1,63.3,-61.06,-1.55,65.51,32.99,60.21,-61.74,32.99,1
0.66,0.68,-0.3,0.3,1.26,3.64,62.59,-60.17,-1.52,65.62,33.32,60.28,-61.6,33.32,1
0.65,0.68,-0.29,2.33,-2.07,-0.41,62.31,-58.99,-1.31,65.43,33.29,60.53,-61.73,33.29,1
0.63,0.66,-0.28,-0.93,-0.08,0.99,62.4,-58.72,-1.39,65.42,33.38,60.48,-61.68,33.38,1
0.65,0.69,-0.31,2.07,-0.01,1.13,63.76,-59.41,-1.2,65.42,33.49,60.74,-61.63,33.49,1
0.67,0.66,-0.3,-4.02,6.13,4.2,60.11,-62.08,-1.58,65.99,33.88,60.36,-61.08,33.88,1
0.68,0.69,-0.28,1.59,-3.64,-1.88,60.12,-59.22,-1.43,65.66,33.7,60.5,-61.37,33.7,1
0.68,0.67,-0.28,-3.18,-0.65,-0.06,59.23,-59.74,-1.72,65.6,33.7,60.18,-61.4,33.7,1
0.68,0.67,-0.28,-1.13,-6.65,-3.13,59.27,-60,-1.83,64.97,33.4,60.06,-61.99,33.4,1
0.69,0.66,-0.28,1.17,3.86,-2.55,58.39,-60.98,-1.72,65.34,33.16,60.13,-61.61,33.16,1
0.69,0.68,-0.28,-1.27,5.28,2.12,58.78,-59.73,-1.84,65.83,33.36,59.99,-61.09,33.36,1
0.68,0.69,-0.27,1.33,5.38,1.27,59.15,-58.7,-1.72,66.33,33.48,60.09,-60.55,33.48,1
0.66,0.68,-0.31,0.29,1.84,0.15,63.16,-61.01,-1.69,66.49,33.49,60.18,-60.4,33.49,1
