accx,accy,accz,gyrox,gyroy,gyroz,accanglex,accangley,gyroanglex,gyroangley,gyroanglez,anglex,angley,anglez,Out
1,0.09,-0.15,0,-0.07,-0.04,5.94,-93.45,-47.08,-54.78,362.29,-0.05,-98.98,362.29,0
1.01,0.08,-0.15,0,0,-0.07,5.36,-93.84,-47.08,-54.78,362.28,0.06,-98.87,362.28,0
1,0.09,-0.15,0.18,0.03,-0.05,6.19,-93.21,-47.06,-54.78,362.27,0.2,-98.76,362.27,0
1,0.08,-0.14,-0.17,-0.01,-0.05,5.15,-93.56,-47.08,-54.78,362.27,0.28,-98.65,362.27,0
1.01,0.09,-0.14,-0.14,-0.04,0.07,5.8,-92.92,-47.09,-54.78,362.28,0.38,-98.54,362.28,0
1,0.08,-0.13,-0.02,0.03,0.1,5.18,-93.11,-47.09,-54.78,362.29,0.47,-98.43,362.29,0
1,0.09,-0.15,0.06,0.12,-0.05,5.86,-93.58,-47.09,-54.77,362.28,0.58,-98.32,362.28,0
1,0.08,-0.14,-0.06,0.05,-0.04,5.05,-93.52,-47.09,-54.76,362.28,0.67,-98.22,362.28,0
1,0.09,-0.15,0,-0.14,-0.24,5.91,-93.69,-47.09,-54.78,362.25,0.77,-98.15,362.25,0
1,0.08,-0.15,0.06,0.15,0.24,5.6,-93.54,-47.09,-54.76,362.28,0.87,-98.04,362.28,0
1,0.09,-0.14,0.01,0.03,0.02,5.68,-92.99,-47.09,-54.76,362.28,0.97,-97.94,362.28,0
1,0.09,-0.15,0.04,0.09,-0.13,6.12,-93.3,-47.08,-54.75,362.27,1.08,-97.83,362.27,0
1,0.08,-0.14,-0.09,-0.09,-0.04,5.27,-93.32,-47.09,-54.76,362.26,1.15,-97.75,362.26,0
1,0.09,-0.15,0.01,0.08,-0.08,6.33,-93.29,-47.09,-54.75,362.26,1.26,-97.66,362.26,0
1,0.08,-0.14,-0.15,-0.06,-0.07,5.39,-93.16,-47.11,-54.76,362.25,1.33,-97.57,362.25,0
1.01,0.09,-0.15,0.06,-0.15,0.1,5.88,-93.69,-47.1,-54.77,362.26,1.42,-97.51,362.26,0
1,0.08,-0.15,-0.12,-0.01,0.01,5.57,-93.85,-47.11,-54.77,362.26,1.5,-97.44,362.26,0
1.01,0.09,-0.15,-0.11,-0.35,0.07,6.32,-93.17,-47.12,-54.81,362.27,1.58,-97.38,362.27,0
1,0.09,-0.14,-0.14,-0.04,0.07,5.84,-93.21,-47.14,-54.81,362.27,1.65,-97.3,362.27,0
1,0.08,-0.13,-0.11,-0.15,0.06,5.43,-92.9,-47.15,-54.82,362.28,1.72,-97.23,362.28,0
1,0.08,-0.14,0.14,-0.09,-0.16,5.38,-93.22,-47.13,-54.83,362.26,1.8,-97.16,362.26,0
1,0.09,-0.14,0.04,-0.11,-0.11,5.98,-92.94,-47.13,-54.84,362.25,1.89,-97.08,362.25,0
1.01,0.09,-0.14,0.03,0.22,-0.08,5.76,-93.23,-47.13,-54.82,362.25,1.97,-96.99,362.25,0
1,0.09,-0.14,-0.06,0.22,-0.05,5.81,-92.73,-47.13,-54.8,362.24,2.04,-96.88,362.24,0
1.01,0.08,-0.14,-0.05,0.2,0.06,5.52,-93.27,-47.14,-54.78,362.25,2.11,-96.79,362.25,0
1.01,0.09,-0.15,-0.06,-0.2,-0.01,5.75,-93.32,-47.14,-54.8,362.25,2.17,-96.74,362.25,0
1,0.08,-0.15,-0.03,-0.01,0.12,5.65,-93.66,-47.1,-55.03,362.39,-37.65,-136.1,362.39,0
1,0.09,-0.14,-0.08,-0.12,-0.04,5.9,-93.18,-47.11,-55.04,362.39,-36.79,-135.26,362.39,0
1,0.09,-0.15,0.01,-0.04,0.16,5.83,-93.75,-47.11,-55.05,362.41,-35.94,-134.43,362.41,0
1,0.08,-0.15,-0.02,0.23,0.01,5.49,-93.84,-47.11,-55.02,362.41,-35.11,-133.6,362.41,0
1,0.09,-0.14,-0.11,0.05,-0.02,5.65,-93.3,-47.12,-55.02,362.4,-34.31,-132.79,362.4,0
1,0.08,-0.14,-0.06,-0.04,0.09,5.57,-92.94,-47.13,-55.02,362.41,-33.51,-131.99,362.41,0
1.01,0.09,-0.14,0.06,0,-0.02,6,-93.07,-47.12,-55.02,362.41,-32.72,-131.21,362.41,0
1,0.09,-0.14,0.01,-0.06,-0.04,5.93,-93.05,-47.12,-55.03,362.41,-31.94,-130.46,362.41,0
1,0.08,-0.16,-0.05,0.41,-0.04,5.78,-94.15,-47.13,-54.99,362.4,-31.19,-129.69,362.4,0
1,0.09,-0.14,-0.05,0.05,0.16,5.76,-93.19,-47.13,-54.98,362.42,-30.46,-128.96,362.42,0
1,0.08,-0.15,-0.06,0.11,-0.11,5.72,-93.73,-47.14,-54.97,362.41,-29.74,-128.24,362.41,0
1,0.08,-0.14,0.09,-0.09,-0.01,5.66,-93.39,-47.13,-54.98,362.41,-29.03,-127.55,362.41,0
1.01,0.09,-0.15,0.09,0.05,-0.02,6.09,-93.6,-47.12,-54.98,362.41,-28.31,-126.87,362.41,0
1,0.09,-0.15,0.14,-0.04,0.16,5.92,-93.49,-47.11,-54.98,362.42,-27.62,-126.21,362.42,0
1,0.08,-0.14,-0.14,-0.03,0.04,5.54,-93.51,-47.12,-54.98,362.43,-26.97,-125.55,362.43,0
1,0.08,-0.14,-0.03,0.17,-0.08,5.42,-93.03,-47.12,-54.97,362.42,-26.32,-124.89,362.42,0
1,0.09,-0.14,0.03,0.08,0.04,6,-93,-47.12,-54.96,362.42,-25.67,-124.24,362.42,0
1,0.08,-0.14,0.01,0.35,0.07,5.6,-93.24,-47.12,-54.93,362.43,-25.05,-123.59,362.43,0
1,0.08,-0.15,0.18,-0.07,0.04,5.51,-93.68,-47.1,-54.93,362.43,-24.42,-123,362.43,0
1,0.08,-0.14,-0.03,-0.03,0.02,5.56,-93.22,-47.1,-54.94,362.43,-23.82,-122.41,362.43,0
1,0.09,-0.15,0.07,0.14,-0.08,5.96,-93.54,-47.1,-54.92,362.43,-23.22,-121.81,362.43,0
1,0.09,-0.14,-0.02,0.08,-0.11,6.01,-92.67,-47.1,-54.91,362.42,-22.64,-121.22,362.42,0
1,0.08,-0.15,0,-0.11,0.04,5.53,-93.64,-47.1,-54.94,362.42,-21.52,-120.16,362.42,0
1,0.08,-0.14,-0.03,0,-0.14,5.5,-93.52,-47.1,-54.94,362.4,-20.98,-119.63,362.4,0
1,0.08,-0.14,-0.11,-0.29,-0.1,5.63,-92.95,-47.12,-54.97,362.39,-20.46,-119.12,362.39,0
1.01,0.09,-0.15,-0.08,-0.11,0.01,6.08,-93.14,-47.12,-54.98,362.4,-19.94,-118.61,362.4,0
1,0.09,-0.15,0.03,-0.01,0.07,5.72,-93.5,-47.12,-54.98,362.4,-19.42,-118.11,362.4,0
1.01,0.09,-0.15,-0.02,-0.07,0.12,5.76,-93.76,-47.12,-54.99,362.41,-18.92,-117.63,362.41,0
1,0.08,-0.14,-0.06,0.02,0.02,5.52,-93.31,-47.13,-54.99,362.42,-18.44,-117.15,362.42,0
1.01,0.08,-0.15,0.03,0.06,-0.11,5.62,-93.65,-47.13,-54.98,362.41,-17.95,-116.67,362.41,0
1.01,0.09,-0.14,0.09,0.08,0.07,5.94,-93.09,-47.12,-54.97,362.41,-17.47,-116.19,362.41,0
1,0.09,-0.15,0.03,-0.01,-0.19,5.93,-93.62,-47.11,-54.97,362.39,-17,-115.74,362.39,0
1,0.08,-0.14,0,-0.07,-0.14,5.37,-93.51,-47.11,-54.98,362.38,-16.55,-115.3,362.38,0
1,0.09,-0.14,-0.11,0.17,0.06,5.82,-93.05,-47.12,-54.96,362.39,-16.11,-114.84,362.39,0
1,0.09,-0.14,-0.02,0.05,-0.14,5.93,-93.13,-47.13,-54.96,362.37,-15.67,-114.4,362.37,0
1.01,0.08,-0.14,0.04,-0.21,0.01,5.43,-93.49,-47.12,-54.98,362.37,-15.25,-114,362.37,0
1,0.09,-0.14,0.1,0.26,0.12,6,-92.68,-47.11,-54.95,362.38,-14.81,-113.55,362.38,0
1,0.08,-0.15,-0.12,-0.2,-0.05,5.6,-93.65,-47.12,-54.97,362.38,-14.42,-113.17,362.38,0
1,0.08,-0.15,0.06,0.28,0.13,5.59,-93.48,-47.12,-54.95,362.39,-14.01,-112.75,362.39,0
1,0.09,-0.15,-0.23,0.03,0.07,5.87,-93.23,-47.14,-54.94,362.4,-13.63,-112.36,362.4,0
1,0.09,-0.14,0.1,0.29,-0.11,5.79,-93.25,-47.13,-54.91,362.39,-13.24,-111.95,362.39,0
1,0.09,-0.14,0.01,-0.14,0.04,6,-92.98,-47.13,-54.93,362.39,-12.85,-111.58,362.39,0
1,0.1,-0.15,0.1,0.12,-0.13,6.44,-92.95,-47.12,-54.92,362.38,-12.45,-111.2,362.38,0
1,0.09,-0.15,0.01,-0.11,0.07,5.9,-93.41,-47.12,-54.93,362.39,-12.09,-110.85,362.39,0
1,0.08,-0.14,-0.12,-0.06,0.1,5.29,-93.45,-47.13,-54.93,362.4,-11.75,-110.51,362.4,0
1,0.08,-0.14,0.01,-0.01,-0.11,5.64,-93.4,-47.13,-54.93,362.38,-11.4,-110.17,362.38,0
1,0.09,-0.14,0.14,0.06,0.07,5.81,-92.73,-47.11,-54.93,362.39,-11.04,-109.81,362.39,0
1,0.09,-0.14,0.04,0.03,0.1,5.73,-93.18,-47.11,-54.92,362.4,-10.7,-109.48,362.4,0
1,0.09,-0.15,0.01,0.11,-0.02,5.89,-93.49,-47.11,-54.91,362.4,-10.37,-109.15,362.4,0
1,0.08,-0.15,0,-0.06,-0.14,5.61,-93.48,-47.11,-54.92,362.39,-10.05,-108.84,362.39,0
1,0.09,-0.14,-0.02,0.02,-0.16,5.87,-93.23,-47.11,-54.92,362.37,-9.73,-108.53,362.37,0
1,0.09,-0.15,0.09,-0.03,-0.11,6.07,-93.38,-47.1,-54.92,362.36,-9.41,-108.23,362.36,0
1,0.09,-0.15,-0.12,0.12,0.18,5.87,-93.71,-47.11,-54.91,362.38,-9.12,-107.92,362.38,0
1,0.09,-0.15,-0.02,0.31,0.13,5.89,-93.5,-47.12,-54.88,362.39,-8.82,-107.61,362.39,0
1,0.08,-0.15,-0.11,0.05,-0.08,5.69,-93.68,-47.13,-54.87,362.38,-8.54,-107.32,362.38,0
1,0.09,-0.15,0.09,-0.07,-0.02,6.03,-93.36,-47.12,-54.88,362.38,-8.24,-107.05,362.38,0
1.01,0.09,-0.14,0,-0.01,0.01,5.97,-92.86,-47.12,-54.88,362.38,-7.95,-106.77,362.38,0
1,0.09,-0.14,-0.09,-0.12,-0.08,5.65,-93.32,-47.13,-54.89,362.37,-7.69,-106.51,362.37,0
1,0.09,-0.15,0.04,0.02,-0.02,5.99,-93.27,-47.12,-54.89,362.37,-7.41,-106.25,362.37,0
1,0.09,-0.14,0.06,0.12,0.04,5.8,-93.05,-47.12,-54.88,362.37,-7.14,-105.97,362.37,0
1,0.09,-0.15,0.06,-0.09,0.07,6.04,-93.13,-47.11,-54.89,362.38,-6.87,-105.72,362.38,0
1,0.08,-0.16,-0.05,-0.46,-0.16,5.07,-94.56,-47.12,-54.93,362.36,-6.64,-105.54,362.36,0
1,0.08,-0.15,0.17,0.51,0.3,5.36,-93.71,-47.1,-54.88,362.39,-6.38,-105.26,362.39,0
1,0.09,-0.14,0.2,-0.2,-0.27,5.93,-92.66,-47.08,-54.9,362.37,-6.12,-105.02,362.37,0
1,0.1,-0.14,0.1,0.05,0.16,6.66,-92.39,-47.07,-54.9,362.38,-5.85,-104.76,362.38,0
1,0.09,-0.13,-0.03,-0.03,-0.14,5.84,-92.08,-47.07,-54.9,362.37,-5.62,-104.51,362.37,0
1,0.11,-0.15,-0.15,0.4,0.13,7.16,-92.55,-47.09,-54.86,362.38,-5.38,-104.24,362.38,0
0.99,0.08,-0.13,0.14,-0.3,-0.05,5.56,-92.73,-47.08,-54.89,362.38,-5.15,-104.03,362.38,0
1,0.09,-0.16,0.14,-0.07,-0.1,6.21,-93.96,-47.06,-54.9,362.37,-4.91,-103.84,362.37,0
1,0.06,-0.14,-0.09,0.14,-0.07,4.2,-94.55,-47.07,-54.88,362.36,-4.74,-103.64,362.36,0
1,0.07,-0.14,0.07,0.05,0.04,4.67,-93.85,-47.06,-54.89,362.37,-4.34,-103.27,362.37,0
1.01,0.09,-0.15,0.01,-0.29,-0.01,5.96,-93.75,-47.06,-54.92,362.37,-4.13,-103.11,362.37,0
1,0.08,-0.14,-0.12,0,-0.08,5.52,-93.18,-47.07,-54.92,362.36,-3.95,-102.91,362.36,0
1.01,0.1,-0.14,-0.06,0.12,-0.01,6.47,-92.65,-47.08,-54.91,362.36,-3.75,-102.69,362.36,0
1,0.08,-0.13,-0.22,-0.03,-0.01,5.44,-92.81,-47.1,-54.91,362.36,-3.58,-102.5,362.36,0
1.01,0.08,-0.15,-0.02,0,-0.02,5.55,-93.79,-47.1,-54.91,362.36,-3.4,-102.32,362.36,0
1,0.09,-0.14,0.04,-0.04,0.01,5.99,-92.94,-47.1,-54.92,362.36,-3.21,-102.14,362.36,0
1,0.09,-0.15,0.03,0.03,-0.08,5.86,-93.4,-47.09,-54.91,362.35,-3.03,-101.96,362.35,0
1,0.09,-0.15,0,0.17,-0.11,6.03,-93.71,-47.09,-54.9,362.34,-2.84,-101.78,362.34,0
1,0.08,-0.14,0.07,0.03,-0.02,5.46,-93.38,-47.09,-54.89,362.34,-2.67,-101.61,362.34,0
1,0.09,-0.15,0.1,0.18,0.09,5.73,-93.67,-47.08,-54.88,362.34,-2.49,-101.43,362.34,0
1,0.08,-0.14,-0.06,-0.04,0.04,5.53,-93.42,-47.08,-54.88,362.35,-2.34,-101.28,362.35,0
1,0.09,-0.15,-0.23,0.18,-0.05,5.94,-93.25,-47.11,-54.86,362.34,-2.2,-101.1,362.34,0
