accX,accY,accZ,gyroX,gyroY,gyroZ,accangleX,accAngleY,gyroangleX,gyroAngleY,gyroAngleZ,angleX,angleY,angleZ
-0.27,-0.1,-1.08,67.75,-1.17,12.92,-173.17,164.59,499.04,-8.6,95.19,485.59,-5.14,95.19
-0.09,-0.15,-0.77,91.15,337.03,-94.42,-167.5,171.33,508.15,25.1,85.75,481.46,31.42,85.75
0,-0.08,-0.77,30.01,148.07,-48.56,-174.28,-179.98,511.18,40.06,80.84,471.32,41.85,80.84
0.09,-0.2,-1.08,22.83,94.85,-13.63,-168.83,-174.26,513.49,49.64,79.47,460.78,46.92,79.47
0.16,-0.25,-1.04,8.31,72.77,-7.32,-164.36,-168.34,514.34,57.06,78.72,449.1,49.88,78.72
0.16,-0.24,-1.09,18.24,14.39,8.17,-165.2,-169.12,516.12,58.47,79.52,438.57,46.89,79.52
0.11,-0.33,-1.06,5.08,-121.05,49.55,-160.91,-171.11,516.62,46.61,84.38,427.07,30.9,84.38
0.13,-0.32,-1.08,72.92,121.47,-72.36,-161.47,-170.42,523.99,58.88,77.07,422.52,38.9,77.07
0.09,-0.24,-0.94,-5.29,56.42,-21.25,-164.45,-172.91,523.45,64.63,74.9,410.25,40.3,74.9
0.11,-0.18,-0.94,-118.02,-462.07,192.85,-167.74,-171.93,511.65,18.42,94.18,387.12,-9.23,94.18
-0.05,-0.1,-0.93,-234.27,-44.04,-5.86,-173.67,176.58,486.81,13.76,93.56,351.57,-10.08,93.56
-0.05,0.04,-1.07,-43.88,50.33,4.14,177.92,177.2,482.29,18.94,93.99,343.67,-1.26,93.99
-0.07,0,-1.02,-4.3,-68.82,16.1,179.82,176.1,481.87,12.13,95.58,339.97,-4.39,95.58
-0.18,0.07,-0.97,-13.32,-26.92,7.3,174.88,168.7,480.56,9.49,96.3,335.39,-3.51,96.3
-0.05,-0.01,-0.87,63.96,-19.81,9.82,-179.61,176.9,486.83,7.55,97.26,331.24,-1.81,97.26
-0.25,0.06,-1.06,11.98,-81.29,-2.56,175.71,165.99,488.02,-0.5,97.01,329.29,-6.34,97.01
-0.23,-0.01,-1.02,-20.48,-23.06,-17.9,-179.1,166.95,485.99,-2.78,95.24,317.13,-5.11,95.24
-0.23,-0.01,-0.95,-22.89,-7.43,7.59,-179.52,166.42,483.65,-3.54,96.01,304.91,-2.42,96.01
-0.23,0,-1.05,-15.32,-6.27,-12.85,179.85,167.41,482.11,-4.17,94.71,300.89,0.36,94.71
-0.23,-0.01,-0.95,-22.89,-7.43,7.59,-179.52,166.42,483.65,-3.54,96.01,304.91,-2.42,96.01
-0.23,0,-1.05,-15.32,-6.27,-12.85,179.85,167.41,482.11,-4.17,94.71,300.89,0.36,94.71
-0.23,0.01,-0.98,-8.37,-7.49,-4.74,179.48,166.9,481.29,-4.91,94.25,297.66,2.97,94.25
-0.4,0.02,-1.19,6.16,14.01,13.11,178.25,161.02,481.88,-3.55,95.52,295.86,7.46,95.52
-0.26,-0.01,-1.05,-0.13,-4.16,-10.3,-179.52,166.14,481.87,-3.94,94.54,286.34,10.25,94.54
-0.28,0.02,-1.02,-5.78,-7.79,26.48,178.1,164.33,481.28,-4.74,97.24,283.6,12.55,97.24
-0.26,0.03,-0.97,-3.66,-2.6,-2.92,177.45,164.55,480.93,-4.99,96.96,281.13,15.34,96.96
-0.24,0.03,-0.98,-11.21,-25.32,29.88,177.58,165.99,479.84,-7.45,99.86,277.99,15.95,99.86
-0.21,0.04,-0.93,-8.79,-28.5,82.34,176.63,166.93,478.96,-10.3,108.09,275.1,16.18,108.09
-0.24,0.06,-0.99,-6.74,-28.25,69.27,175.31,165.27,478.28,-13.15,115.09,272.44,16.36,115.09
-0.29,0.09,-0.96,-5.29,-8.63,34.4,172.16,161.34,477.74,-14.03,118.6,269.9,18.4,118.6
-0.32,0.11,-0.96,-6.27,-20.28,5.26,170.69,159.55,477.11,-16.08,119.13,267.3,19.21,119.13
-0.32,0.11,-0.94,-0.83,-20.08,13.96,169.45,158.58,477.03,-18.09,120.53,265.26,20.03,120.53
-0.31,0.1,-0.95,-1.99,-5.18,9.23,170.96,159.79,476.82,-18.62,121.48,263.17,22.3,121.48
-0.31,0.12,-0.94,6.13,8.53,37.18,169.19,158.94,477.43,-17.78,125.16,261.89,25.86,125.16
-0.31,0.13,-0.95,5.09,-24.18,50.68,168.28,159.42,477.93,-20.17,130.17,260.51,26.19,130.17
-0.34,0.17,-0.94,-6.45,-38.79,37.52,164.22,156.43,477.28,-24.09,133.96,257.95,24.96,133.96
-0.36,0.17,-0.96,1.23,-18.76,-11.29,164.11,155.35,477.4,-26,132.81,256.19,25.69,132.81
-0.37,0.15,-0.94,-2.08,-12.21,-5.26,165.17,155.1,477.19,-27.23,132.28,254.17,27.07,132.28
-0.36,0.15,-0.92,-6.76,-8.25,-3.83,164.73,154.82,476.5,-28.08,131.89,251.7,28.79,131.89
-0.39,0.16,-0.91,-4.07,-14.98,1.79,162.69,152.14,476.09,-29.58,132.07,249.52,29.79,132.07
-0.37,0.17,-0.91,10.92,9.66,-9.63,163.1,153.88,477.21,-28.6,131.08,248.88,33.24,131.08
-0.36,0.14,-0.93,0.57,-0.54,-6.24,165.75,155.45,477.26,-28.65,130.47,247.27,35.63,130.47
-0.38,0.15,-0.92,0.66,0.27,-3.57,164.29,153.76,477.33,-28.62,130.11,245.68,38.02,130.11
-0.38,0.17,-0.93,3.21,-2.59,-1.44,163.08,153.36,477.65,-28.88,129.97,244.34,40.07,129.97
-0.39,0.16,-0.93,4.34,-7.49,-2.47,164.01,153.51,478.36,-30.89,129.47,240.33,44.84,129.47
-0.39,0.15,-0.91,2.57,-5.99,-3.4,163.81,153.08,478.61,-31.49,129.13,239.05,46.43,129.13
